new_id,TwitchName
8753,summonersinnlive
9206,rocketbeanstv
7787,gronkh
2498,ungespielt
2452,bonjwa
3234,miss_rage
1584,trymacs
430,germench
2684,royalphunk
4927,staiy
1638,moondye7
2145,pietsmiet
2816,shlorox
8769,gtimetv
4042,bibaboy
8614,papaplatte
1550,emero
1664,broeki1
7524,kev1ntv
3828,herrdekay
4451,lifecoach1981
7216,trilluxe
3023,ilovecookiiezz
7784,blacklightcast
5421,monstersandexplosions
5145,stevicules
789,slethzockt
8803,ranzratte
9057,hc_dizee
6535,zonixxcs
1276,mastertay
3363,lpmassive
6522,syrenia
1901,lory
8262,lost
7802,cirouss
8468,diehahn
3722,nookyyy
421,miramisu
2234,mori09tv
6451,baudusau420
6652,tinkerleo
5342,debitorlp
617,perrick
4038,biberbros
9187,mukkayo
4912,h0llylp
8782,zander
7913,cmdkrieger
4004,pixel_maniacs
9340,back2warcraft
9156,affenklappe
4754,c4mlann
8987,xflixx
2716,solaaaa
5834,youbetterknowme
7280,bastighg
7867,vanioneu
6393,taketvblack
8810,whiteydude
5893,thiseguy
2281,theenclase
7715,bruugar
8406,cnotbusch
5117,battletaure
4533,mckytv
7127,jeff
5204,superjj102
5875,honorius
8700,miamouz
7208,lessqqll
4139,gerrit
4957,cillidbaaang
4121,veni
7720,[ProfileDeleted]
8992,hornisse86
422,germandota
721,maihopawango
3633,nerdstartv
9354,kunshikitty
3352,zombey
8554,suishomaru
2980,nvidiageforcede
2998,vengaard
8397,musclebrahtv
6193,sephiron
7958,gameswelt
9272,onkelbarlow
7130,ralfingertv
7936,basteltante
3955,kravitz7
4530,heideltraut
8602,officialyugiohchannel
1490,wolverous
6281,messirolive
1173,rahmschnitzel
5798,honeyball
2914,laraloft
7980,norddeutscherjunge
9200,alcasthq
